investor_id,gap_days,status
INV000001,71.0,At Risk
INV000002,114.0,At Risk
INV000003,238.0,At Risk
INV000004,265.0,At Risk
INV000005,167.0,At Risk
INV000006,295.0,At Risk
INV000007,177.0,At Risk
INV000008,107.0,At Risk
INV000009,162.0,At Risk
INV000010,121.0,At Risk
INV000011,122.0,At Risk
INV000012,104.0,At Risk
INV000013,99.0,At Risk
INV000014,119.0,At Risk
INV000015,127.0,At Risk
INV000016,122.0,At Risk
INV000017,264.0,At Risk
INV000018,234.0,At Risk
INV000019,406.0,At Risk
INV000020,122.0,At Risk
INV000021,137.0,At Risk
INV000022,178.0,At Risk
INV000023,115.0,At Risk
INV000024,167.0,At Risk
INV000025,,Active
INV000026,145.0,At Risk
INV000027,140.0,At Risk
INV000028,232.0,At Risk
INV000029,71.0,At Risk
INV000030,92.0,At Risk
INV000031,262.0,At Risk
INV000032,166.0,At Risk
INV000033,87.0,At Risk
INV000034,62.0,At Risk
INV000035,144.0,At Risk
INV000036,99.0,At Risk
INV000037,126.0,At Risk
INV000038,183.0,At Risk
INV000039,94.0,At Risk
INV000040,118.0,At Risk
INV000041,144.0,At Risk
INV000042,31.0,Active
INV000043,286.0,At Risk
INV000044,290.0,At Risk
INV000045,70.0,At Risk
INV000046,292.0,At Risk
INV000047,115.0,At Risk
INV000048,120.0,At Risk
INV000049,425.0,At Risk
INV000050,129.0,At Risk
INV000051,167.0,At Risk
INV000052,129.0,At Risk
INV000053,7.0,Active
INV000054,103.0,At Risk
INV000055,107.0,At Risk
INV000056,161.0,At Risk
INV000057,65.0,At Risk
INV000058,121.0,At Risk
INV000059,,Active
INV000060,90.0,At Risk
INV000061,179.0,At Risk
INV000062,148.0,At Risk
INV000063,403.0,At Risk
INV000064,,Active
INV000065,122.0,At Risk
INV000066,115.0,At Risk
INV000067,,Active
INV000068,,Active
INV000069,110.0,At Risk
INV000070,157.0,At Risk
INV000071,56.0,At Risk
INV000072,188.0,At Risk
INV000073,112.0,At Risk
INV000074,191.0,At Risk
INV000075,87.0,At Risk
INV000076,148.0,At Risk
INV000077,87.0,At Risk
INV000078,231.0,At Risk
INV000079,120.0,At Risk
INV000080,167.0,At Risk
INV000081,167.0,At Risk
INV000082,225.0,At Risk
INV000083,180.0,At Risk
INV000084,155.0,At Risk
INV000085,135.0,At Risk
INV000086,102.0,At Risk
INV000087,103.0,At Risk
INV000088,54.0,At Risk
INV000089,130.0,At Risk
INV000090,148.0,At Risk
INV000091,112.0,At Risk
INV000092,225.0,At Risk
INV000093,111.0,At Risk
INV000094,173.0,At Risk
INV000095,155.0,At Risk
INV000096,2.0,Active
INV000097,183.0,At Risk
INV000098,111.0,At Risk
INV000099,178.0,At Risk
INV000100,155.0,At Risk
INV000101,102.0,At Risk
INV000102,97.0,At Risk
INV000103,137.0,At Risk
INV000104,79.0,At Risk
INV000105,87.0,At Risk
INV000106,111.0,At Risk
INV000107,138.0,At Risk
INV000108,165.0,At Risk
INV000109,63.0,At Risk
INV000110,194.0,At Risk
INV000111,205.0,At Risk
INV000112,167.0,At Risk
INV000113,144.0,At Risk
INV000114,96.0,At Risk
INV000115,136.0,At Risk
INV000116,133.0,At Risk
INV000117,124.0,At Risk
INV000118,152.0,At Risk
INV000119,142.0,At Risk
INV000120,223.0,At Risk
INV000121,170.0,At Risk
INV000122,,Active
INV000123,138.0,At Risk
INV000124,210.0,At Risk
INV000125,92.0,At Risk
INV000126,258.0,At Risk
INV000127,240.0,At Risk
INV000128,129.0,At Risk
INV000129,105.0,At Risk
INV000130,97.0,At Risk
INV000131,64.0,At Risk
INV000132,125.0,At Risk
INV000133,265.0,At Risk
INV000134,106.0,At Risk
INV000135,238.0,At Risk
INV000136,,Active
INV000137,73.0,At Risk
INV000138,170.0,At Risk
INV000139,,Active
INV000140,157.0,At Risk
INV000141,,Active
INV000142,,Active
INV000143,146.0,At Risk
INV000144,193.0,At Risk
INV000145,98.0,At Risk
INV000146,109.0,At Risk
INV000147,141.0,At Risk
INV000148,168.0,At Risk
INV000149,,Active
INV000150,165.0,At Risk
INV000151,115.0,At Risk
INV000152,87.0,At Risk
INV000153,93.0,At Risk
INV000154,99.0,At Risk
INV000155,163.0,At Risk
INV000156,130.0,At Risk
INV000157,,Active
